City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,villagarzon,1.0375,-76.6267,25.48,81,89,1.26,CO,1675984103
191,raudeberg,61.9875,5.1352,1.37,52,100,14.23,NO,1675984104
192,denpasar,-8.65,115.2167,24.84,94,40,0.51,ID,1675984104
193,westport,41.1415,-73.3579,10.97,84,100,1.34,US,1675984105
194,jinka,5.65,36.65,20.88,35,55,0.91,ET,1675984105
195,haines junction,60.7522,-137.5108,-10.38,91,100,0.65,CA,1675984106
196,namatanai,-3.6667,152.4333,27.49,78,100,1.66,PG,1675984107
197,placido de castro,-10.3353,-67.1856,22.62,98,96,1.04,BR,1675984108
198,popondetta,-8.7537,148.2534,26.97,77,100,0.77,PG,1675984108
199,korcula,42.9622,17.1369,5.65,50,53,3.92,HR,1675984109
200,sorong,-0.8833,131.25,27.02,78,100,2.48,ID,1675984109
201,keti bandar,24.1447,67.4497,21.52,87,0,5.83,PK,1675984110
202,sananduva,-27.9497,-51.8067,21.44,57,70,1.63,BR,1675984110
203,esperance,-33.8667,121.9,17.18,79,5,3.46,AU,1675984111
204,puerto cabello,10.4731,-68.0125,24.73,85,87,5.96,VE,1675984111
205,chuy,-33.6971,-53.4616,21.81,85,0,2.71,UY,1675984112
206,mount gambier,-37.8333,140.7667,21.7,46,0,3.73,AU,1675984112
207,grenfell,-33.9,148.1667,22.47,52,0,3.11,AU,1675984113
208,khatanga,71.9667,102.5,-44.44,99,42,1.73,RU,1675984113
209,teya,60.3778,92.6267,-34.67,100,100,1.06,RU,1675984114
210,east london,-33.0153,27.9116,20.28,87,100,2.12,ZA,1675984114
211,isabela,6.7085,121.9711,25.05,83,78,1.5,PH,1675984115
212,kaitangata,-46.2817,169.8464,16.16,44,57,0.53,NZ,1675984115
213,egvekinot,66.3167,-179.1667,-31.09,90,81,2.92,RU,1675984116
214,palmer,42.1584,-72.3287,7.91,70,100,0.45,US,1675984116
215,saint-philippe,-21.3585,55.7679,24.77,81,73,5.45,RE,1675984117
216,thinadhoo,0.5333,72.9333,26.81,75,85,4.32,MV,1675984118
217,nampa,43.5407,-116.5635,8.25,37,0,8.23,US,1675983830
218,lima,-12.0432,-77.0282,24.14,73,20,8.23,PE,1675983425
219,dauphin,51.1494,-100.0502,-7.56,89,9,2.66,CA,1675984118
220,plettenberg bay,-34.0527,23.3716,19.87,92,20,2.34,ZA,1675984119
221,vila franca do campo,37.7167,-25.4333,13.23,80,49,3.81,PT,1675984120
222,avera,33.194,-82.5271,21.73,67,100,4.56,US,1675984120
223,podyuga,61.095,40.8647,-3.62,86,99,5.71,RU,1675984120
224,linhares,-19.3911,-40.0722,23.41,86,98,1.69,BR,1675984121
225,sitka,57.0531,-135.33,5.94,70,100,5.14,US,1675983933
